"V1","text"
"scratchy, whiskery kiss. Then, suddenly, Hagrid let out a howl like a wounded","book 1"
"dog.","book 1"
"“Shhh!” hissed Professor McGonagall, “You’ll wake the Muggles!”","book 1"
"“S-s-sorry,” sobbed Hagrid, taking out a large, spotted handkerchief and","book 1"
"burying his face in it. “But I c-c-can’t stand it —Lily an’ James dead — an’ poor","book 1"
"little Harry off ter live with Muggles —”","book 1"
"“Yes, yes, it’s all very sad, but get a grip on yourself, Hagrid, or we’ll be","book 1"
"found,” Professor McGonagall whispered, patting Hagrid gingerly on the arm as","book 1"
"Dumbledore stepped over the low garden wall and walked to the front door. He","book 1"
"laid Harry gently on the doorstep, took a letter out of his cloak, tucked it inside","book 1"
"Harry’s blankets, and then came back to the other two. For a full minute the","book 1"
"three of them stood and looked at the little bundle; Hagrid’s shoulders shook,","book 1"
"Professor McGonagall blinked furiously, and the twinkling light that usually","book 1"
"shone from Dumbledore’s eyes seemed to have gone out.","book 1"
"“Well,” said Dumbledore finally, “that’s that. We’ve no business staying","book 1"
"here. We may as well go and join the celebrations.”","book 1"
"“Yeah,” said Hagrid in a very muffled voice, “I’ll be takin’ Sirius his bike","book 1"
"back. G’night, Professor McGonagall — Professor Dumbledore, sir.”","book 1"
"Wiping his streaming eyes on his jacket sleeve, Hagrid swung himself","book 1"
"onto the motorcycle and kicked the engine into life; with a roar it rose into the","book 1"
"air and off into the night.","book 1"
"“I shall see you soon, I expect, Professor McGonagall,” said","book 1"
"Dumbledore, nodding to her. Professor McGonagall blew her nose in reply.","book 1"
"Dumbledore turned and walked back down the street. On the corner he","book 1"
"stopped and took out the silver Put-Outer. He clicked it once, and twelve balls of","book 1"
"light sped back to their street lamps so that Privet Drive glowed suddenly orange","book 1"
"and he could make out a tabby cat slinking around the corner at the other end of","book 1"
"the street. He could just see the bundle of blankets on the step of number four.","book 1"
"“Good luck, Harry,” he murmured. He turned on his heel and with a","book 1"
"swish of his cloak, he was gone.","book 1"
"A breeze ruffled the neat hedges of Privet Drive, which lay silent and tidy","book 1"
"under the inky sky, the very last place you would expect astonishing things to","book 1"
"happen. Harry Potter rolled over inside his blankets without waking up. One","book 1"
"small hand closed on the letter beside him and he slept on, not knowing he was","book 1"
"special, not knowing he was famous, not knowing he would be woken in a few","book 1"
"hours’ time by Mrs. Dursley’s scream as she opened the front door to put out the","book 1"
"milk bottles, nor that he would spend the next few weeks being prodded and","book 1"
"pinched by his cousin Dudley....He couldn’t know that at this very moment,","book 1"
"people meeting in secret all over the country were holding up their glasses and","book 1"
"saying in hushed voices: “To Harry Potter — the boy who lived!”","book 1"
"THE VANISHING GLASS","book 1"
"N early ten years had passed since the Dursleys had woken up to find their","book 1"
"nephew on the front step, but Privet Drive had hardly changed at all. The sun","book 1"
"rose on the same tidy front gardens and lit up the brass number four on the","book 1"
"Dursleys’ front door; it crept into their living room, which was almost exactly","book 1"
"the same as it had been on the night when Mr. Dursley had seen that fateful news","book 1"
"report about the owls. Only the photographs on the mantelpiece really showed","book 1"
"how much time had passed. Ten years ago, there had been lots of pictures of","book 1"
"what looked like a large pink beach ball wearing different-colored bonnets —","book 1"
"but Dudley Dursley was no longer a baby, and now the photographs showed a","book 1"
"large blond boy riding his first bicycle, on a carousel at the fair, playing a","book 1"
"computer game with his father, being hugged and kissed by his mother. The","book 1"
"room held no sign at all that another boy lived in the house, too.","book 1"
"Yet Harry Potter was still there, asleep at the moment, but not for long.","book 1"
"His Aunt Petunia was awake and it was her shrill voice that made the first noise","book 1"
"of the day.","book 1"
"“Up! Get up! Now!”","book 1"
"Harry woke with a start. His aunt rapped on the door again.","book 1"
"“Up!” she screeched. Harry heard her walking toward the kitchen and","book 1"
"then the sound of the frying pan being put on the stove. He rolled onto his back","book 1"
"and tried to remember the dream he had been having. It had been a good one.","book 1"
"There had been a flying motorcycle in it. He had a funny feeling he’d had the","book 1"
"same dream before.","book 1"
"His aunt was back outside the door.","book 1"
"“Are you up yet?” she demanded.","book 1"
"“Nearly,” said Harry.","book 1"
"“Well, get a move on, I want you to look after the bacon. And don’t you","book 1"
"dare let it burn, I want everything perfect on Duddy’s birthday.”","book 1"
"Harry groaned.","book 1"
"“What did you say?” his aunt snapped through the door.","book 1"
"“Nothing, nothing…”","book 1"
"Dudley’s birthday — how could he have forgotten? Harry got slowly out","book 1"
"of bed and started looking for socks. He found a pair under his bed and, after","book 1"
"pulling a spider off one of them, put them on. Harry was used to spiders, because","book 1"
"the cupboard under the stairs was full of them, and that was where he slept.","book 1"
"When he was dressed he went down the hall into the kitchen. The table","book 1"
"was almost hidden beneath all Dudley’s birthday presents. It looked as though","book 1"
"Dudley had gotten the new computer he wanted, not to mention the second","book 1"
"television and the racing bike. Exactly why Dudley wanted a racing bike was a","book 1"
"mystery to Harry, as Dudley was very fat and hated exercise — unless of course","book 1"
"it involved punching somebody. Dudley’s favorite punching bag was Harry, but","book 1"
"he couldn’t often catch him. Harry didn’t look it, but he was very fast.","book 1"
"Perhaps it had something to do with living in a dark cupboard, but Harry","book 1"
"had always been small and skinny for his age. He looked even smaller and","book 1"
"skinnier than he really was because all he had to wear were old clothes of","book 1"
"Dudley’s, and Dudley was about four times bigger than he was. Harry had a thin","book 1"
"face, knobbly knees, black hair, and bright green eyes. He wore round glasses","book 1"
"held together with a lot of Scotch tape because of all the times Dudley had","book 1"
"punched him on the nose. The only thing Harry liked about his own appearance","book 1"
"was a very thin scar on his forehead that was shaped like a bolt of lightning. He","book 1"
"had had it as long as he could remember, and the first question he could ever","book 1"
"remember asking his Aunt Petunia was how he had gotten it.","book 1"
"“In the car crash when your parents died,” she had said. “And don’t ask","book 1"
"questions.”","book 1"
"Don’t ask questions — that was the first rule for a quiet life with the","book 1"
"Dursleys.","book 1"
"Uncle Vernon entered the kitchen as Harry was turning over the bacon.","book 1"
"“Comb your hair!” he barked, by way of a morning greeting.","book 1"
"About once a week, Uncle Vernon looked over the top of his newspaper","book 1"
"and shouted that Harry needed a haircut. Harry must have had more haircuts than","book 1"
"the rest of the boys in his class put together, but it made no difference, his hair","book 1"
"simply grew that way — all over the place.","book 1"
"Harry was frying eggs by the time Dudley arrived in the kitchen with his","book 1"
"mother. Dudley looked a lot like Uncle Vernon. He had a large pink face, not","book 1"
"much neck, small, watery blue eyes, and thick blond hair that lay smoothly on","book 1"
"his thick, fat head. Aunt Petunia often said that Dudley looked like a baby angel","book 1"
"— Harry often said that Dudley looked like a pig in a wig.","book 1"
"Harry put the plates of egg and bacon on the table, which was difficult as","book 1"
"there wasn’t much room. Dudley, meanwhile, was counting his presents. His","book 1"
"face fell.","book 1"
"“Thirty-six,” he said, looking up at his mother and father. “That’s two","book 1"
"less than last year.”","book 1"
